0 tensor(12.4628, device='cuda:0')
1 tensor(28.8901, device='cuda:0')
2 tensor(37.1056, device='cuda:0')
3 tensor(42.1011, device='cuda:0')
4 tensor(45.6008, device='cuda:0')
5 tensor(48.1319, device='cuda:0')
6 tensor(50.0691, device='cuda:0')
7 tensor(51.7271, device='cuda:0')
8 tensor(53.0936, device='cuda:0')
9 tensor(54.2295, device='cuda:0')
10 tensor(55.2892, device='cuda:0')
11 tensor(56.0156, device='cuda:0')
12 tensor(56.8379, device='cuda:0')
13 tensor(57.5773, device='cuda:0')
14 tensor(58.1923, device='cuda:0')
15 tensor(58.6305, device='cuda:0')
16 tensor(59.1430, device='cuda:0')
17 tensor(59.5946, device='cuda:0')
18 tensor(60.0758, device='cuda:0')
19 tensor(60.4128, device='cuda:0')
20 tensor(60.7894, device='cuda:0')
21 tensor(61.1751, device='cuda:0')
22 tensor(61.4806, device='cuda:0')
23 tensor(61.7654, device='cuda:0')
24 tensor(62.1027, device='cuda:0')
25 tensor(62.4253, device='cuda:0')
26 tensor(62.6799, device='cuda:0')
27 tensor(62.9186, device='cuda:0')
28 tensor(63.2434, device='cuda:0')
29 tensor(63.5159, device='cuda:0')
30 tensor(63.8016, device='cuda:0')
31 tensor(64.0080, device='cuda:0')
32 tensor(64.2243, device='cuda:0')
33 tensor(64.4402, device='cuda:0')
34 tensor(64.6666, device='cuda:0')
35 tensor(64.8645, device='cuda:0')
36 tensor(65.1518, device='cuda:0')
37 tensor(65.2917, device='cuda:0')
38 tensor(65.4973, device='cuda:0')
39 tensor(65.7621, device='cuda:0')
40 tensor(65.9401, device='cuda:0')
41 tensor(66.2033, device='cuda:0')
42 tensor(66.3221, device='cuda:0')
43 tensor(66.5319, device='cuda:0')
44 tensor(66.7263, device='cuda:0')
45 tensor(66.9619, device='cuda:0')
46 tensor(67.1763, device='cuda:0')
47 tensor(67.3726, device='cuda:0')
48 tensor(67.5286, device='cuda:0')
49 tensor(67.8119, device='cuda:0')
50 tensor(67.9661, device='cuda:0')
51 tensor(68.1494, device='cuda:0')
52 tensor(68.3101, device='cuda:0')
53 tensor(68.5988, device='cuda:0')
54 tensor(68.8072, device='cuda:0')
55 tensor(68.9636, device='cuda:0')
56 tensor(69.1980, device='cuda:0')
57 tensor(69.3626, device='cuda:0')
58 tensor(69.6275, device='cuda:0')
59 tensor(69.7520, device='cuda:0')
60 tensor(69.9424, device='cuda:0')
61 tensor(70.1696, device='cuda:0')
62 tensor(70.4799, device='cuda:0')
63 tensor(70.6105, device='cuda:0')
64 tensor(70.8641, device='cuda:0')
65 tensor(71.0126, device='cuda:0')
66 tensor(71.2826, device='cuda:0')
67 tensor(71.4570, device='cuda:0')
68 tensor(71.6711, device='cuda:0')
69 tensor(71.8698, device='cuda:0')
70 tensor(72.0948, device='cuda:0')
71 tensor(72.3320, device='cuda:0')
72 tensor(72.5071, device='cuda:0')
73 tensor(72.7586, device='cuda:0')
74 tensor(72.9213, device='cuda:0')
75 tensor(73.2073, device='cuda:0')
76 tensor(73.3517, device='cuda:0')
77 tensor(73.5568, device='cuda:0')
78 tensor(73.7043, device='cuda:0')
79 tensor(73.8970, device='cuda:0')
80 tensor(74.1166, device='cuda:0')
81 tensor(74.3030, device='cuda:0')
82 tensor(74.5072, device='cuda:0')
83 tensor(74.6617, device='cuda:0')
84 tensor(74.8586, device='cuda:0')
85 tensor(74.9722, device='cuda:0')
86 tensor(75.0970, device='cuda:0')
87 tensor(75.2428, device='cuda:0')
88 tensor(75.4048, device='cuda:0')
89 tensor(75.4852, device='cuda:0')
90 tensor(75.5616, device='cuda:0')
91 tensor(75.7288, device='cuda:0')
92 tensor(75.7547, device='cuda:0')
93 tensor(75.8799, device='cuda:0')
94 tensor(75.9268, device='cuda:0')
95 tensor(75.9928, device='cuda:0')
96 tensor(76.0622, device='cuda:0')
97 tensor(76.0580, device='cuda:0')
98 tensor(76.0264, device='cuda:0')
99 tensor(76.0912, device='cuda:0')
