0 tensor(23.4869, device='cuda:0')
1 tensor(45.4620, device='cuda:0')
2 tensor(54.5816, device='cuda:0')
3 tensor(59.5578, device='cuda:0')
4 tensor(62.8985, device='cuda:0')
5 tensor(65.2885, device='cuda:0')
6 tensor(67.0133, device='cuda:0')
7 tensor(68.3207, device='cuda:0')
8 tensor(69.4230, device='cuda:0')
9 tensor(70.3199, device='cuda:0')
10 tensor(71.1444, device='cuda:0')
11 tensor(71.7169, device='cuda:0')
12 tensor(72.3285, device='cuda:0')
13 tensor(72.7929, device='cuda:0')
14 tensor(73.2530, device='cuda:0')
15 tensor(73.6184, device='cuda:0')
16 tensor(74.0190, device='cuda:0')
17 tensor(74.3297, device='cuda:0')
18 tensor(74.6048, device='cuda:0')
19 tensor(74.9216, device='cuda:0')
20 tensor(75.1549, device='cuda:0')
21 tensor(75.3607, device='cuda:0')
22 tensor(75.6044, device='cuda:0')
23 tensor(75.7397, device='cuda:0')
24 tensor(76.0752, device='cuda:0')
25 tensor(76.2033, device='cuda:0')
26 tensor(76.3715, device='cuda:0')
27 tensor(76.5762, device='cuda:0')
28 tensor(76.7275, device='cuda:0')
29 tensor(76.9194, device='cuda:0')
30 tensor(77.0296, device='cuda:0')
31 tensor(77.2298, device='cuda:0')
32 tensor(77.3000, device='cuda:0')
33 tensor(77.4701, device='cuda:0')
34 tensor(77.6199, device='cuda:0')
35 tensor(77.8167, device='cuda:0')
36 tensor(77.8781, device='cuda:0')
37 tensor(78.0942, device='cuda:0')
38 tensor(78.2298, device='cuda:0')
39 tensor(78.3052, device='cuda:0')
40 tensor(78.4719, device='cuda:0')
41 tensor(78.5577, device='cuda:0')
42 tensor(78.6887, device='cuda:0')
43 tensor(78.8270, device='cuda:0')
44 tensor(78.9659, device='cuda:0')
45 tensor(79.0641, device='cuda:0')
46 tensor(79.1767, device='cuda:0')
47 tensor(79.2719, device='cuda:0')
48 tensor(79.4672, device='cuda:0')
49 tensor(79.5162, device='cuda:0')
50 tensor(79.6557, device='cuda:0')
51 tensor(79.7726, device='cuda:0')
52 tensor(79.8970, device='cuda:0')
53 tensor(80.0075, device='cuda:0')
54 tensor(80.1118, device='cuda:0')
55 tensor(80.3213, device='cuda:0')
56 tensor(80.3492, device='cuda:0')
57 tensor(80.5355, device='cuda:0')
58 tensor(80.6336, device='cuda:0')
59 tensor(80.8071, device='cuda:0')
60 tensor(80.8484, device='cuda:0')
61 tensor(80.9757, device='cuda:0')
62 tensor(81.0797, device='cuda:0')
63 tensor(81.2042, device='cuda:0')
64 tensor(81.3026, device='cuda:0')
65 tensor(81.3808, device='cuda:0')
66 tensor(81.5674, device='cuda:0')
67 tensor(81.6298, device='cuda:0')
68 tensor(81.8067, device='cuda:0')
69 tensor(81.8961, device='cuda:0')
70 tensor(81.9544, device='cuda:0')
71 tensor(82.0978, device='cuda:0')
72 tensor(82.2498, device='cuda:0')
73 tensor(82.3423, device='cuda:0')
74 tensor(82.4322, device='cuda:0')
75 tensor(82.5945, device='cuda:0')
76 tensor(82.6796, device='cuda:0')
77 tensor(82.7232, device='cuda:0')
78 tensor(82.8637, device='cuda:0')
79 tensor(82.9308, device='cuda:0')
80 tensor(83.0478, device='cuda:0')
81 tensor(83.1299, device='cuda:0')
82 tensor(83.2136, device='cuda:0')
83 tensor(83.3282, device='cuda:0')
84 tensor(83.4457, device='cuda:0')
85 tensor(83.5249, device='cuda:0')
86 tensor(83.6345, device='cuda:0')
87 tensor(83.6376, device='cuda:0')
88 tensor(83.7142, device='cuda:0')
89 tensor(83.7549, device='cuda:0')
90 tensor(83.8289, device='cuda:0')
91 tensor(83.8569, device='cuda:0')
92 tensor(83.9179, device='cuda:0')
93 tensor(83.9305, device='cuda:0')
94 tensor(84.0036, device='cuda:0')
95 tensor(84.0034, device='cuda:0')
96 tensor(84.0505, device='cuda:0')
97 tensor(84.0095, device='cuda:0')
98 tensor(84.0390, device='cuda:0')
99 tensor(84.0961, device='cuda:0')
