0 tensor(3.1694, device='cuda:0')
1 tensor(17.4224, device='cuda:0')
2 tensor(30.3241, device='cuda:0')
3 tensor(37.7969, device='cuda:0')
4 tensor(41.6023, device='cuda:0')
5 tensor(44.3488, device='cuda:0')
6 tensor(46.6876, device='cuda:0')
7 tensor(48.2864, device='cuda:0')
8 tensor(49.4741, device='cuda:0')
9 tensor(50.4787, device='cuda:0')
10 tensor(51.2129, device='cuda:0')
11 tensor(51.8473, device='cuda:0')
12 tensor(52.3531, device='cuda:0')
13 tensor(52.8148, device='cuda:0')
14 tensor(53.1975, device='cuda:0')
15 tensor(53.5724, device='cuda:0')
16 tensor(53.8668, device='cuda:0')
17 tensor(54.1884, device='cuda:0')
18 tensor(54.3280, device='cuda:0')
19 tensor(54.6945, device='cuda:0')
20 tensor(54.8800, device='cuda:0')
21 tensor(55.0665, device='cuda:0')
22 tensor(55.3770, device='cuda:0')
23 tensor(55.5676, device='cuda:0')
24 tensor(55.7316, device='cuda:0')
25 tensor(55.9978, device='cuda:0')
26 tensor(56.1230, device='cuda:0')
27 tensor(56.2765, device='cuda:0')
28 tensor(56.5061, device='cuda:0')
29 tensor(56.7036, device='cuda:0')
30 tensor(56.8732, device='cuda:0')
31 tensor(57.1393, device='cuda:0')
32 tensor(57.2946, device='cuda:0')
33 tensor(57.5371, device='cuda:0')
34 tensor(57.6895, device='cuda:0')
35 tensor(57.9066, device='cuda:0')
36 tensor(58.1054, device='cuda:0')
37 tensor(58.2893, device='cuda:0')
38 tensor(58.5096, device='cuda:0')
39 tensor(58.7410, device='cuda:0')
40 tensor(58.9623, device='cuda:0')
41 tensor(59.1475, device='cuda:0')
42 tensor(59.4079, device='cuda:0')
43 tensor(59.6644, device='cuda:0')
44 tensor(59.8909, device='cuda:0')
45 tensor(60.1781, device='cuda:0')
46 tensor(60.4122, device='cuda:0')
47 tensor(60.6858, device='cuda:0')
48 tensor(60.9634, device='cuda:0')
49 tensor(61.1541, device='cuda:0')
50 tensor(61.4993, device='cuda:0')
51 tensor(61.7598, device='cuda:0')
52 tensor(62.1434, device='cuda:0')
53 tensor(62.3911, device='cuda:0')
54 tensor(62.6896, device='cuda:0')
55 tensor(62.9844, device='cuda:0')
56 tensor(63.2939, device='cuda:0')
57 tensor(63.7236, device='cuda:0')
58 tensor(63.9942, device='cuda:0')
59 tensor(64.3272, device='cuda:0')
60 tensor(64.6801, device='cuda:0')
61 tensor(65.0626, device='cuda:0')
62 tensor(65.4981, device='cuda:0')
63 tensor(65.7302, device='cuda:0')
64 tensor(66.1662, device='cuda:0')
65 tensor(66.5646, device='cuda:0')
66 tensor(67.0056, device='cuda:0')
67 tensor(67.3368, device='cuda:0')
68 tensor(67.8079, device='cuda:0')
69 tensor(68.2469, device='cuda:0')
70 tensor(68.6351, device='cuda:0')
71 tensor(69.1793, device='cuda:0')
72 tensor(69.5792, device='cuda:0')
73 tensor(70.0902, device='cuda:0')
74 tensor(70.6119, device='cuda:0')
75 tensor(71.1416, device='cuda:0')
76 tensor(71.6562, device='cuda:0')
77 tensor(72.1366, device='cuda:0')
78 tensor(72.7860, device='cuda:0')
79 tensor(73.2965, device='cuda:0')
80 tensor(73.8178, device='cuda:0')
81 tensor(74.5013, device='cuda:0')
82 tensor(75.0831, device='cuda:0')
83 tensor(75.7853, device='cuda:0')
84 tensor(76.4229, device='cuda:0')
85 tensor(77.1213, device='cuda:0')
86 tensor(77.7653, device='cuda:0')
87 tensor(78.4184, device='cuda:0')
88 tensor(79.1618, device='cuda:0')
89 tensor(79.7799, device='cuda:0')
90 tensor(80.4574, device='cuda:0')
91 tensor(81.0916, device='cuda:0')
92 tensor(81.6332, device='cuda:0')
93 tensor(82.1887, device='cuda:0')
94 tensor(82.6553, device='cuda:0')
95 tensor(83.0982, device='cuda:0')
96 tensor(83.4010, device='cuda:0')
97 tensor(83.5533, device='cuda:0')
98 tensor(83.7135, device='cuda:0')
99 tensor(83.7847, device='cuda:0')
