0 tensor(4.6860, device='cuda:0')
1 tensor(21.2598, device='cuda:0')
2 tensor(33.4143, device='cuda:0')
3 tensor(40.4244, device='cuda:0')
4 tensor(43.9298, device='cuda:0')
5 tensor(46.3596, device='cuda:0')
6 tensor(48.4927, device='cuda:0')
7 tensor(50.0337, device='cuda:0')
8 tensor(51.2150, device='cuda:0')
9 tensor(52.1077, device='cuda:0')
10 tensor(52.7739, device='cuda:0')
11 tensor(53.4490, device='cuda:0')
12 tensor(53.9479, device='cuda:0')
13 tensor(54.3754, device='cuda:0')
14 tensor(54.7242, device='cuda:0')
15 tensor(55.1662, device='cuda:0')
16 tensor(55.4117, device='cuda:0')
17 tensor(55.7635, device='cuda:0')
18 tensor(56.0298, device='cuda:0')
19 tensor(56.3080, device='cuda:0')
20 tensor(56.5591, device='cuda:0')
21 tensor(56.7468, device='cuda:0')
22 tensor(57.0094, device='cuda:0')
23 tensor(57.1528, device='cuda:0')
24 tensor(57.4240, device='cuda:0')
25 tensor(57.6180, device='cuda:0')
26 tensor(57.8002, device='cuda:0')
27 tensor(57.9633, device='cuda:0')
28 tensor(58.1664, device='cuda:0')
29 tensor(58.3559, device='cuda:0')
30 tensor(58.5642, device='cuda:0')
31 tensor(58.8024, device='cuda:0')
32 tensor(59.0004, device='cuda:0')
33 tensor(59.2294, device='cuda:0')
34 tensor(59.3715, device='cuda:0')
35 tensor(59.6639, device='cuda:0')
36 tensor(59.8049, device='cuda:0')
37 tensor(60.0630, device='cuda:0')
38 tensor(60.2536, device='cuda:0')
39 tensor(60.5316, device='cuda:0')
40 tensor(60.6921, device='cuda:0')
41 tensor(60.9512, device='cuda:0')
42 tensor(61.1607, device='cuda:0')
43 tensor(61.3592, device='cuda:0')
44 tensor(61.7172, device='cuda:0')
45 tensor(61.8818, device='cuda:0')
46 tensor(62.1710, device='cuda:0')
47 tensor(62.4097, device='cuda:0')
48 tensor(62.7270, device='cuda:0')
49 tensor(62.9262, device='cuda:0')
50 tensor(63.3229, device='cuda:0')
51 tensor(63.5002, device='cuda:0')
52 tensor(63.7757, device='cuda:0')
53 tensor(64.1072, device='cuda:0')
54 tensor(64.4302, device='cuda:0')
55 tensor(64.7088, device='cuda:0')
56 tensor(65.0481, device='cuda:0')
57 tensor(65.3674, device='cuda:0')
58 tensor(65.6427, device='cuda:0')
59 tensor(66.0643, device='cuda:0')
60 tensor(66.3621, device='cuda:0')
61 tensor(66.7332, device='cuda:0')
62 tensor(67.0393, device='cuda:0')
63 tensor(67.4401, device='cuda:0')
64 tensor(67.8063, device='cuda:0')
65 tensor(68.1377, device='cuda:0')
66 tensor(68.5956, device='cuda:0')
67 tensor(69.0067, device='cuda:0')
68 tensor(69.4666, device='cuda:0')
69 tensor(69.9127, device='cuda:0')
70 tensor(70.2922, device='cuda:0')
71 tensor(70.7525, device='cuda:0')
72 tensor(71.2632, device='cuda:0')
73 tensor(71.7089, device='cuda:0')
74 tensor(72.2214, device='cuda:0')
75 tensor(72.6451, device='cuda:0')
76 tensor(73.2779, device='cuda:0')
77 tensor(73.7706, device='cuda:0')
78 tensor(74.3148, device='cuda:0')
79 tensor(74.9152, device='cuda:0')
80 tensor(75.4834, device='cuda:0')
81 tensor(76.0415, device='cuda:0')
82 tensor(76.6917, device='cuda:0')
83 tensor(77.3200, device='cuda:0')
84 tensor(77.9701, device='cuda:0')
85 tensor(78.6445, device='cuda:0')
86 tensor(79.2902, device='cuda:0')
87 tensor(80.0198, device='cuda:0')
88 tensor(80.6325, device='cuda:0')
89 tensor(81.3062, device='cuda:0')
90 tensor(81.9454, device='cuda:0')
91 tensor(82.5263, device='cuda:0')
92 tensor(83.1173, device='cuda:0')
93 tensor(83.6131, device='cuda:0')
94 tensor(84.0407, device='cuda:0')
95 tensor(84.3715, device='cuda:0')
96 tensor(84.6831, device='cuda:0')
97 tensor(84.8605, device='cuda:0')
98 tensor(84.9963, device='cuda:0')
99 tensor(85.0357, device='cuda:0')
